address	data_type	value
0044cf1c	string	GATE and3 2 O=a*b*c; PIN * INV 1 999 1.0 0.2 1.0 0.2\n
0044cf5c	string	GATE and2 2 O=a*b; PIN * INV 1 999 1.0 0.2 1.0 0.2\n
0044cf98	string	GATE exor2 5.5 O=a*!b+!a*b; PIN * UNKNOWN 2 999 1.9 0.5 1.9 0.5\n
0044cfdc	string	exor2
0044cfe4	string	GATE nor4 4 O=!(a+b+c+d); PIN * INV 1 999 3.8 1.0 3.8 1.0\n
0044d028	string	GATE nor3 3 O=!(a+b+c); PIN * INV 1 999 2.4 0.7 2.4 0.7\n
0044d06c	string	GATE nor2 2 O=!(a+b); PIN * INV 1 999 1.4 0.5 1.4 0.5\n
0044d0ac	string	GATE nand4 4 O=!(a*b*c*d); PIN * INV 1 999 1.4 0.4 1.4 0.4\n
0044d0e8	string	nand4
0044d0f0	string	GATE nand3 3 O=!(a*b*c); PIN * INV 1 999 1.1 0.3 1.1 0.3\n
0044d12c	string	nand3
0044d134	string	GATE nand2 2 O=!(a*b); PIN * INV 1 999 1.0 0.2 1.0 0.2\n
0044d16c	string	nand2
0044d178	string	GATE zero0 0 O=CONST0;\nGATE one0 0 O=CONST1;\nGATE inv1 1 O=!a; PIN * INV 1 999 0.9 0.3 0.9 0.3\n
0044d1d8	string	TOTAL PACKAGES %d\r\n
0044d1ec	string	Quad 2-Input MUX %d\r\n
0044d204	string	Quad 2-Input EXOR %d\r\n
0044d21c	string	Dual 4-Input OR %d\r\n
0044d234	string	Triple 3-Input OR %d\r\n
0044d24c	string	Quad 2-Input OR %d\r\n
0044d264	string	Dual 4-Input AND %d\r\n
0044d27c	string	Triple 3-Input AND %d\r\n
0044d294	string	Quad 2-Input AND %d\r\n
0044d2ac	string	Dual 4-Input NOR %d\r\n
0044d2c4	string	Triple 3-Input NOR %d\r\n
0044d2dc	string	Quad 2-Input NOR %d\r\n
0044d2f4	string	Dual 4-Input NAND %d\r\n
0044d30c	string	Triple 3-Input NAND %d\r\n
0044d328	string	Quad 2-Input NAND %d\r\n
0044d340	string	Hex Inverter %d\r\n
0044d354	string	IC Qty\r\n
0044d360	string	Logic Friday Diagram
0044d375	string	Function %s
0044d398	string	Out of vert slots.\nbFirstPass: %d bAlloc: %d  Row1: %d  Row2: %d  Col: %d  SlotCntV: %d  iX: %d\ndwSlotMask[iX]:\n
