entry	name	namespace	is_thunk	calling_convention	parameter_count	return_type
0041a306	FUN_0041a306	Global	false	__thiscall	2	bool
0041a338	FUN_0041a338	Global	false	__thiscall	2	undefined4
0041a350	FUN_0041a350	Global	false	__fastcall	1	undefined
0041a38c	FUN_0041a38c	Global	false	__fastcall	1	int
0041a41f	FUN_0041a41f	Global	false	__thiscall	3	undefined
0041a43b	FUN_0041a43b	Global	false	__fastcall	1	undefined4
0041a5b2	FUN_0041a5b2	Global	false	__fastcall	1	bool
0041a687	FUN_0041a687	Global	false	__thiscall	2	undefined4
0041ac36	FUN_0041ac36	Global	false	__fastcall	1	undefined4
0041b260	FUN_0041b260	Global	false	__fastcall	1	undefined4
0041c423	FUN_0041c423	Global	false	__stdcall	4	uint
0041c581	FUN_0041c581	Global	false	__thiscall	4	undefined4
0041c6a8	FUN_0041c6a8	Global	false	__thiscall	3	undefined4
0041c712	FUN_0041c712	Global	false	__fastcall	1	bool
0041c785	FUN_0041c785	Global	false	__stdcall	0	undefined4
0041cbd4	FUN_0041cbd4	Global	false	__stdcall	0	undefined4
0041d5e1	FUN_0041d5e1	Global	false	__stdcall	0	undefined
0041d8f2	FUN_0041d8f2	Global	false	__thiscall	2	void *
0041d91b	FUN_0041d91b	Global	false	__thiscall	2	void *
0041d944	FUN_0041d944	Global	false	__thiscall	2	undefined
0041def5	FUN_0041def5	Global	false	__thiscall	2	undefined
0041df4d	FUN_0041df4d	Global	false	__thiscall	3	undefined
0041dfe3	FUN_0041dfe3	Global	false	__thiscall	4	undefined4
0041e0c1	FUN_0041e0c1	Global	false	__thiscall	4	int
0041e12f	FUN_0041e12f	Global	false	__thiscall	5	int
0041e1a4	FUN_0041e1a4	Global	false	__thiscall	3	undefined4
0041e4dd	FUN_0041e4dd	Global	false	__stdcall	0	int
00420023	FUN_00420023	Global	false	__thiscall	3	int
00420265	FUN_00420265	Global	false	__fastcall	1	int
0042038b	FUN_0042038b	Global	false	__fastcall	1	int
004207ae	FUN_004207ae	Global	false	__fastcall	1	undefined4
0042093b	FUN_0042093b	Global	false	__thiscall	3	int
004209b2	FUN_004209b2	Global	false	__thiscall	3	undefined4
00421093	FUN_00421093	Global	false	__fastcall	1	undefined4
00421516	FUN_00421516	Global	false	__thiscall	2	undefined4
0042166a	FUN_0042166a	Global	false	__thiscall	2	undefined4
004219f6	FUN_004219f6	Global	false	__thiscall	2	undefined
00421aa2	FUN_00421aa2	Global	false	__fastcall	1	undefined
00421b02	FUN_00421b02	Global	false	__thiscall	2	undefined4
00421c38	FUN_00421c38	Global	false	__thiscall	2	undefined4
00421d2a	FUN_00421d2a	Global	false	__thiscall	3	undefined4
00421eb4	FUN_00421eb4	Global	false	__fastcall	1	undefined4
00422090	FUN_00422090	Global	false	__thiscall	4	undefined4
004225c6	FUN_004225c6	Global	false	__fastcall	1	undefined
00422a3c	FUN_00422a3c	Global	false	__fastcall	1	undefined4
004231b6	FUN_004231b6	Global	false	__fastcall	1	undefined4
00423a22	FUN_00423a22	Global	false	__fastcall	1	undefined
0042424d	FUN_0042424d	Global	false	__thiscall	4	undefined4
004242ed	FUN_004242ed	Global	false	__stdcall	2	int
00424322	FUN_00424322	Global	false	__thiscall	2	undefined4
00424347	FUN_00424347	Global	false	__stdcall	0	undefined4
00424b74	FUN_00424b74	Global	false	__fastcall	1	undefined4
00424ceb	FUN_00424ceb	Global	false	__thiscall	2	undefined4
0042564a	FUN_0042564a	Global	false	__thiscall	6	undefined
004258e1	FUN_004258e1	Global	false	__thiscall	4	undefined
00425991	FUN_00425991	Global	false	__fastcall	1	undefined
00425b8e	FUN_00425b8e	Global	false	__thiscall	2	undefined
00425f03	FUN_00425f03	Global	false	__stdcall	5	undefined
00426f50	FUN_00426f50	Global	false	__stdcall	0	undefined
00427686	FUN_00427686	Global	false	__thiscall	7	undefined4
00427c43	FUN_00427c43	Global	false	__stdcall	0	undefined4
004286f7	FUN_004286f7	Global	false	__thiscall	3	undefined
004287c6	FUN_004287c6	Global	false	__thiscall	4	undefined
00428837	FUN_00428837	Global	false	__thiscall	8	undefined4
00428eb1	FUN_00428eb1	Global	false	__thiscall	6	int
00429288	FUN_00429288	Global	false	__thiscall	5	int
0042953c	FUN_0042953c	Global	false	__thiscall	2	undefined
004297b5	FUN_004297b5	Global	false	__fastcall	1	undefined
0042999a	FUN_0042999a	Global	false	__stdcall	0	undefined
00429b01	FUN_00429b01	Global	false	__stdcall	0	undefined
00429fe2	FUN_00429fe2	Global	false	__thiscall	2	int
0042a6d9	FUN_0042a6d9	Global	false	__thiscall	2	undefined4
0042aca7	FUN_0042aca7	Global	false	__thiscall	2	undefined4
0042af77	FUN_0042af77	Global	false	__stdcall	2	undefined
0042b22e	FUN_0042b22e	Global	false	__thiscall	5	LRESULT
0042e896	FUN_0042e896	Global	false	__thiscall	2	undefined4
0042e94c	FUN_0042e94c	Global	false	__fastcall	1	undefined
0042edfd	FUN_0042edfd	Global	false	__thiscall	6	undefined4
0042f2a2	FUN_0042f2a2	Global	false	__stdcall	5	undefined4
0042fa9d	FUN_0042fa9d	Global	false	__thiscall	3	int
0042fb5a	FUN_0042fb5a	Global	false	__thiscall	2	undefined4
0042fcbc	FUN_0042fcbc	Global	false	__stdcall	0	undefined4
00430039	FUN_00430039	Global	false	__fastcall	1	undefined
0043049d	FUN_0043049d	Global	false	__stdcall	6	undefined
004305a5	FUN_004305a5	Global	false	__thiscall	3	undefined4
004306d3	FUN_004306d3	Global	false	__stdcall	0	undefined4
0043147c	FUN_0043147c	Global	false	__thiscall	6	uint
00431666	FUN_00431666	Global	false	__thiscall	7	uint
00431cac	FUN_00431cac	Global	false	__fastcall	1	undefined4
00431d3b	FUN_00431d3b	Global	false	__thiscall	5	undefined4
00431daa	FUN_00431daa	Global	false	__thiscall	6	undefined4
004326bc	FUN_004326bc	Global	false	__thiscall	4	int
00434112	FUN_00434112	Global	false	__fastcall	1	int
00434433	FUN_00434433	Global	false	__fastcall	1	int
004349ff	FUN_004349ff	Global	false	__fastcall	1	undefined
00434e03	FUN_00434e03	Global	false	__fastcall	1	undefined4
0043510c	FUN_0043510c	Global	false	__thiscall	2	undefined4
00435399	FUN_00435399	Global	false	__stdcall	0	undefined4
004358b3	FUN_004358b3	Global	false	__fastcall	1	undefined4
00435ac0	FUN_00435ac0	Global	false	__thiscall	2	undefined
00435e82	FUN_00435e82	Global	false	__thiscall	5	undefined4
004362c1	FUN_004362c1	Global	false	__thiscall	5	undefined4
00436748	FUN_00436748	Global	false	__thiscall	5	undefined4
00436863	FUN_00436863	Global	false	__thiscall	2	undefined4
00436925	FUN_00436925	Global	false	__thiscall	3	undefined4
00436c32	FUN_00436c32	Global	false	__thiscall	4	undefined4
004372d9	FUN_004372d9	Global	false	__stdcall	3	undefined
00437348	FUN_00437348	Global	false	__fastcall	1	undefined
004373f1	FUN_004373f1	Global	false	__thiscall	2	undefined
00437b1f	FUN_00437b1f	Global	false	__thiscall	5	LRESULT
00439133	FUN_00439133	Global	false	__stdcall	0	undefined4
0043961a	FUN_0043961a	Global	false	__stdcall	0	undefined
00439623	FUN_00439623	Global	false	__thiscall	3	bool
004397b2	FUN_004397b2	Global	false	__thiscall	3	undefined4
0043983d	FUN_0043983d	Global	false	__thiscall	2	undefined
004398bb	FUN_004398bb	Global	false	__fastcall	1	undefined
00439908	FUN_00439908	Global	false	__fastcall	1	undefined
0043993e	FUN_0043993e	Global	false	__thiscall	2	undefined
00439974	FUN_00439974	Global	false	__thiscall	2	undefined
00439a35	FUN_00439a35	Global	false	__fastcall	1	undefined
00439aab	FUN_00439aab	Global	false	__fastcall	1	undefined
00439af4	FUN_00439af4	Global	false	__fastcall	1	undefined
00439b85	FUN_00439b85	Global	false	__thiscall	2	undefined
00439c3b	FUN_00439c3b	Global	false	__thiscall	2	undefined
00439c5c	FUN_00439c5c	Global	false	__thiscall	2	undefined
00439c7d	FUN_00439c7d	Global	false	__fastcall	1	undefined4 *
00439cf0	FUN_00439cf0	Global	false	__thiscall	9	undefined4
00439d5a	FUN_00439d5a	Global	false	__thiscall	2	undefined4
00439d71	FUN_00439d71	Global	false	__thiscall	3	undefined
0043a4d3	FUN_0043a4d3	Global	false	__fastcall	1	undefined
0043a5a9	FUN_0043a5a9	Global	false	__thiscall	4	undefined
0043a79e	FUN_0043a79e	Global	false	__thiscall	5	undefined4
0043a7eb	FUN_0043a7eb	Global	false	__thiscall	5	undefined4
0043a8f1	FUN_0043a8f1	Global	false	__thiscall	5	undefined4
0043a9ff	FUN_0043a9ff	Global	false	__thiscall	2	undefined
0043ab21	FUN_0043ab21	Global	false	__fastcall	1	undefined
0043ab51	FUN_0043ab51	Global	false	__fastcall	1	undefined4 *
0043ab65	FUN_0043ab65	Global	false	__fastcall	1	undefined
0043aba6	FUN_0043aba6	Global	false	__fastcall	1	undefined
0043ac51	FUN_0043ac51	Global	false	__thiscall	3	undefined4
0043ae30	FUN_0043ae30	Global	false	__thiscall	6	undefined4
0043af87	FUN_0043af87	Global	false	__thiscall	2	bool
0043b061	FUN_0043b061	Global	false	__thiscall	2	undefined4
0043b10a	FUN_0043b10a	Global	false	__thiscall	3	undefined4
0043b238	FUN_0043b238	Global	false	__thiscall	5	bool
0043b3ae	FUN_0043b3ae	Global	false	__fastcall	1	undefined
0043b7be	FUN_0043b7be	Global	false	__thiscall	4	undefined4
0043b877	FUN_0043b877	Global	false	__fastcall	1	undefined4
0043bad3	FUN_0043bad3	Global	false	__thiscall	2	undefined4
0043bfa3	FUN_0043bfa3	Global	false	__thiscall	3	undefined4
0043c146	FUN_0043c146	Global	false	__thiscall	5	undefined4
0043c34c	FUN_0043c34c	Global	false	__thiscall	2	undefined4
0043c5dc	FUN_0043c5dc	Global	false	__thiscall	2	int
0043c652	FUN_0043c652	Global	false	__thiscall	2	int
0043c6c8	FUN_0043c6c8	Global	false	__thiscall	2	int
0043c740	FUN_0043c740	Global	false	__thiscall	2	int
0043c7b8	FUN_0043c7b8	Global	false	__thiscall	3	int
0043c82b	FUN_0043c82b	Global	false	__thiscall	2	undefined4
0043c8a6	FUN_0043c8a6	Global	false	__thiscall	2	undefined4
0043c96e	FUN_0043c96e	Global	false	__thiscall	2	undefined4
0043ca9b	FUN_0043ca9b	Global	false	__thiscall	4	undefined4
0043cc09	FUN_0043cc09	Global	false	__thiscall	3	undefined4
0043d4ba	FUN_0043d4ba	Global	false	__thiscall	2	undefined
0043d7d3	FUN_0043d7d3	Global	false	__thiscall	2	undefined
0043dc5c	FUN_0043dc5c	Global	false	__thiscall	3	undefined
0043e2f5	FUN_0043e2f5	Global	false	__thiscall	3	undefined4
0043e34a	FUN_0043e34a	Global	false	__fastcall	1	undefined
0043e36f	FUN_0043e36f	Global	false	__stdcall	4	int
0043e408	FUN_0043e408	Global	false	__stdcall	1	bool
0043e470	_memset	Global	false	__cdecl	3	void *
0043e4d0	report_failure	Global	false	__cdecl	0	undefined
0043e501	__security_check_cookie	Global	false	__fastcall	1	void
0043e510	_strlen	Global	false	__cdecl	1	size_t
0043e59b	__fclose_lk	Global	false	__cdecl	1	int
0043e5e7	_fclose	Global	false	__cdecl	1	int
0043e630	FUN_0043e630	Global	false	__stdcall	0	undefined
0043e638	FID_conflict:_fwprintf	Global	false	__cdecl	2	int
0043e68c	FUN_0043e68c	Global	false	__stdcall	0	undefined
0043e696	__fsopen	Global	false	__cdecl	3	FILE *
0043e6e8	FUN_0043e6e8	Global	false	__stdcall	0	undefined
0043e6f2	FUN_0043e6f2	Global	false	__cdecl	2	undefined
0043e705	FID_conflict:__time32	Global	false	__cdecl	1	__time32_t
0043e73e	_realloc	Global	false	__cdecl	2	void *
0043e8a6	FUN_0043e8a6	Global	false	__stdcall	0	undefined
0043e900	_strchr	Global	false	__cdecl	2	char *
0043e9be	__strnicmp	Global	false	__cdecl	3	int
0043ea3d	_rand	Global	false	__cdecl	0	int
0043ea5f	FUN_0043ea5f	Global	false	__stdcall	0	undefined
0043eb3d	__beginthread	Global	false	__cdecl	3	uintptr_t
0043ebd0	FUN_0043ebd0	Global	false	__cdecl	2	uint *
0043ebe0	FUN_0043ebe0	Global	false	__cdecl	2	uint *
0043ecc8	_free	Global	false	__cdecl	1	void
0043ed1b	FUN_0043ed1b	Global	false	__stdcall	0	undefined
0043ed39	FUN_0043ed39	Global	false	__cdecl	2	int
0043ed91	FUN_0043ed91	Global	false	__stdcall	0	undefined
0043ed92	FUN_0043ed92	Global	false	__stdcall	0	undefined
0043edca	FUN_0043edca	Global	false	__stdcall	0	undefined
0043edf0	__chkstk	Global	false	__stdcall	0	undefined
0043ee30	FUN_0043ee30	Global	false	__stdcall	0	ulonglong
0043eea5	_free	Global	true	__cdecl	1	void
0043eeaa	operator_new	Global	false	__cdecl	1	void *
0043eeb8	_JumpToContinuation	Global	false	__stdcall	2	void
0043eee8	FID_conflict:_CallMemberFunction1	Global	false	__stdcall	2	undefined
0043eeef	_UnwindNestedFrames	Global	false	__stdcall	2	void
0043ef41	___CxxFrameHandler	Global	false	__cdecl	4	undefined4
0043ef9b	FUN_0043ef9b	Global	false	__cdecl	3	undefined4
